Compiler,Run,RealTime_s,UserTime_s,SysTime_s
fdo_clang,1,168.97,8293.53,573.57
thinly_linked_fdo_clang,1,174.05,8119.09,588.01
fdo_clang,2,171.43,8400.12,581.50
thinly_linked_fdo_clang,2,139.88,7097.62,567.61
fdo_clang,3,169.59,8353.65,581.47
thinly_linked_fdo_clang,3,139.55,7089.01,565.94
fdo_clang,4,169.45,8374.22,579.02
thinly_linked_fdo_clang,4,141.18,7131.52,570.69
fdo_clang,5,169.71,8387.59,579.67
thinly_linked_fdo_clang,5,142.10,7196.72,574.25
fdo_clang,avg,169.830,8361.822,579.046
fdo_clang,stddev,0.839,37.457,2.908
thinly_linked_fdo_clang,avg,147.352,7326.792,573.300
thinly_linked_fdo_clang,stddev,13.380,397.956,7.882
