Compiler,Run,RealTime_s,UserTime_s,SysTime_s
ipra_thinly_linked_fdo_clang,1,123.41,6814.66,382.48
ipra_thinly_linked_fdo_clang,2,124.95,6805.04,378.23
ipra_thinly_linked_fdo_clang,3,124.75,6842.78,389.75
ipra_thinly_linked_fdo_clang,4,125.00,6835.88,384.12
ipra_thinly_linked_fdo_clang,5,123.87,6817.94,382.64
ipra_thinly_linked_fdo_clang,6,125.80,6828.22,387.20
ipra_thinly_linked_fdo_clang,7,124.31,6829.74,378.60
ipra_thinly_linked_fdo_clang,8,125.17,6830.92,380.03
ipra_thinly_linked_fdo_clang,9,125.58,6816.48,376.81
ipra_thinly_linked_fdo_clang,10,124.49,6789.43,380.04
ipra_thinly_linked_fdo_clang,11,124.75,6812.09,379.09
ipra_thinly_linked_fdo_clang,12,124.19,6821.01,382.42
ipra_thinly_linked_fdo_clang,13,123.93,6823.77,381.81
ipra_thinly_linked_fdo_clang,14,124.07,6820.53,380.68
ipra_thinly_linked_fdo_clang,15,123.71,6816.95,384.38
ipra_thinly_linked_fdo_clang,16,123.49,6819.77,380.23
ipra_thinly_linked_fdo_clang,17,125.26,6837.16,381.82
ipra_thinly_linked_fdo_clang,18,126.70,6818.58,388.80
ipra_thinly_linked_fdo_clang,19,124.18,6815.97,382.59
ipra_thinly_linked_fdo_clang,20,124.91,6824.96,378.54
ipra_thinly_linked_fdo_clang,21,124.99,6835.17,384.55
ipra_thinly_linked_fdo_clang,22,124.07,6821.88,384.64
ipra_thinly_linked_fdo_clang,23,123.93,6828.08,377.75
ipra_thinly_linked_fdo_clang,24,124.65,6800.97,382.70
ipra_thinly_linked_fdo_clang,25,124.51,6806.39,383.02
ipra_thinly_linked_fdo_clang,26,124.27,6817.62,376.89
ipra_thinly_linked_fdo_clang,27,123.32,6809.85,380.42
ipra_thinly_linked_fdo_clang,28,125.52,6825.61,384.49
ipra_thinly_linked_fdo_clang,29,125.15,6824.19,383.54
ipra_thinly_linked_fdo_clang,30,124.48,6814.77,382.72
ipra_thinly_linked_fdo_clang,avg,124.580,6820.214,382.033
ipra_thinly_linked_fdo_clang,stddev,0.751,11.122,3.169
