Compiler,Run,RealTime_s,UserTime_s,SysTime_s
bootstrapped_clang,1,206.05,10343.09,567.45
fdo_clang,1,151.94,7377.48,522.77
thinly_linked_fdo_clang,1,152.08,7152.83,523.48
bootstrapped_clang,2,204.46,10376.36,572.38
fdo_clang,2,153.58,7475.49,529.13
thinly_linked_fdo_clang,2,130.75,6603.09,536.12
bootstrapped_clang,3,208.61,10715.61,591.69
fdo_clang,3,150.17,7346.07,516.71
thinly_linked_fdo_clang,3,124.39,6277.67,510.99
bootstrapped_clang,4,203.70,10373.03,566.51
fdo_clang,4,151.12,7381.90,518.48
thinly_linked_fdo_clang,4,125.50,6330.36,514.42
bootstrapped_clang,5,202.91,10363.14,567.19
fdo_clang,5,152.37,7450.52,525.15
thinly_linked_fdo_clang,5,125.98,6351.35,516.51
bootstrapped_clang,avg,205.146,10434.246,573.044
bootstrapped_clang,stddev,2.019,141.159,9.554
fdo_clang,avg,151.836,7406.292,522.448
fdo_clang,stddev,1.151,48.572,4.488
thinly_linked_fdo_clang,avg,131.740,6543.060,520.304
thinly_linked_fdo_clang,stddev,10.400,324.915,8.899
