# ThinLTO + PreserveNone
Compiler,Run,RealTime_s,UserTime_s,SysTime_s
preserve_none_thinly_linked_fdo_clang,1,126.10,6845.46,390.02
preserve_none_thinly_linked_fdo_clang,2,126.25,6871.64,392.02
preserve_none_thinly_linked_fdo_clang,3,126.52,6920.91,393.12
preserve_none_thinly_linked_fdo_clang,4,127.29,6869.76,395.75
preserve_none_thinly_linked_fdo_clang,5,126.94,6895.49,400.34
preserve_none_thinly_linked_fdo_clang,6,127.87,6909.13,396.03
preserve_none_thinly_linked_fdo_clang,7,127.11,6910.43,398.76
preserve_none_thinly_linked_fdo_clang,8,126.60,6902.79,400.77
preserve_none_thinly_linked_fdo_clang,9,127.52,6897.19,395.93
preserve_none_thinly_linked_fdo_clang,10,127.66,6888.92,399.18
preserve_none_thinly_linked_fdo_clang,avg,126.986,6891.172,396.192
preserve_none_thinly_linked_fdo_clang,stddev,0.577,21.685,3.448

# ThinLTO
Compiler,Run,RealTime_s,UserTime_s,SysTime_s
thinly_linked_fdo_clang,1,126.87,6852.65,392.79
thinly_linked_fdo_clang,2,126.63,6866.09,395.25
thinly_linked_fdo_clang,3,126.81,6871.72,395.30
thinly_linked_fdo_clang,4,127.22,6873.61,397.73
thinly_linked_fdo_clang,5,127.55,6860.45,393.48
thinly_linked_fdo_clang,6,126.49,6871.96,397.99
thinly_linked_fdo_clang,7,126.49,6848.22,396.38
thinly_linked_fdo_clang,8,126.52,6881.42,394.05
thinly_linked_fdo_clang,9,126.74,6877.15,401.05
thinly_linked_fdo_clang,10,126.65,6861.25,393.08
thinly_linked_fdo_clang,avg,126.797,6866.452,395.710
thinly_linked_fdo_clang,stddev,0.327,10.168,2.486
